gene_id,D1_dNA,D2_dNA,D3_dNA,E1_dNA,E1_dPA,E2_dNA,E2_dPA,E3_dNA,E3_dPA,P1_dNA,P1_dP,P2_dNA,P2_dP,P3_dNA,P3_dP,T1_CD71A,T2_CD71A,T3_CD71A
ENSMUSG00000032769|Trpa1,17,47,0,5,0,9,0,0,0,57,23,60,17,52,20,5,6,10
MSTRG.107|Gm10566,391,471,486,321,514,328,506,362,517,501,600,458,358,522,582,455,418,428
MSTRG.109|Terf1,821,1072,952,825,1078,805,919,760,1059,757,256,574,155,776,282,731,777,801
MSTRG.111|Sbspon,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,6
MSTRG.113|Gm23259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.110|Gm37509,25,20,14,7,23,7,11,14,32,16,12,10,10,23,13,6,13,19
MSTRG.112|Sbspon,23,14,22,23,5,37,19,25,22,29,7,25,9,18,10,34,29,8
MSTRG.115|Rdh10,380,317,377,298,278,314,270,285,235,328,644,378,518,431,690,276,236,315
MSTRG.116|Gm28095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.117|Stau2,93,78,66,448,444,474,473,430,527,185,191,181,100,111,166,136,68,47
MSTRG.118|Gm7568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.114|Rpl7,22395,24762,23755,37054,39179,35148,38169,32996,38634,27070,24684,25820,14487,23343,26206,29795,25902,26555
MSTRG.119|Ube2w,1217,1269,1384,928,1480,768,1475,941,1412,669,1316,733,769,892,1119,1487,1430,1559
MSTRG.121|Ube2w,100,87,100,59,97,84,109,93,176,37,21,44,13,55,18,64,108,92
MSTRG.120|Ube2w,2,2,1,0,0,0,4,3,1,10,5,15,5,3,3,3,0,4
MSTRG.122|Gm38342,8,0,3,0,12,0,9,4,9,8,5,0,6,8,8,1,2,2
MSTRG.124|Tmem70,387,351,357,1183,1488,1085,1458,1153,1429,789,686,769,370,685,728,511,455,408
MSTRG.125|Ly96,38,33,12,77,53,53,44,31,42,77,348,94,137,90,277,25,16,38
ENSMUSG00000091020|Gm5828,21,11,13,18,14,20,14,22,29,16,5,9,5,12,8,3,19,9
MSTRG.123|Eloc,1183,1024,1098,1768,2173,1614,1844,1555,2125,1412,1232,1427,857,1269,1461,1321,1209,1299
ENSMUSG00000101589|Rbm6-ps1,2,7,2,11,7,12,12,10,4,9,5,15,3,9,2,7,12,3
ENSMUSG00000101640|Gm28376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104133|4921511E07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042686|Jph1,0,0,3,8,6,15,7,6,6,7,4,0,18,0,13,0,0,5
ENSMUSG00000085125|Gm16070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025776|Crispld1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099895|Gm28153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.126|Gm15825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.127|Tfap2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.128|Tfap2d,339,343,291,550,554,505,532,483,606,452,297,411,174,398,345,380,337,475
MSTRG.129|Gm10075,25,23,27,39,40,41,39,37,26,30,9,36,7,28,10,27,19,26
ENSMUSG00000041872|Il17f,20,13,3,14,0,9,8,6,13,9,10,0,13,7,0,13,7,4
ENSMUSG00000043760|Pkhd1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000104095|Gm37315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089914|4930486I03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000070175|Gm24162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090142|Gm15795,8,3,10,11,12,11,7,11,13,9,12,6,6,2,3,13,13,5
ENSMUSG00000041809|Efhc1,20,16,6,49,32,24,26,33,27,13,41,12,36,23,37,41,27,23
MSTRG.132|Paqr8,72,57,42,545,149,470,183,373,145,205,291,155,171,121,389,86,69,51
MSTRG.133|Gm24171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.130|Mcm3,5811,5199,4781,18345,19752,19238,17231,18843,19084,10141,3834,9910,2123,7991,5111,7804,7277,5748
ENSMUSG00000099971|Gm28287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ENSMUSG00000102633|Gm38224,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MSTRG.135|Tmem14a,13,11,5,76,25,76,33,62,25,67,80,60,64,64,71,18,12,12
ENSMUSG00000096375|Gm7094,0,0,0,3,1,0,0,4,0,0,0,0,0,3,0,0,0,0
MSTRG.134|Tram2,553,480,392,696,589,552,615,636,574,1100,1257,950,815,1157,1420,416,462,449
MSTRG.136|Gsta3,9,17,5,18,16,7,10,11,17,69,410,140,336,92,441,44,40,73
MSTRG.137|Gm28836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.138,25,19,14,64,60,34,34,29,40,44,37,27,26,17,19,16,10,22
MSTRG.139,20,26,29,46,26,60,40,74,63,19,24,22,24,53,19,19,15,17
MSTRG.140,61,64,34,149,101,113,96,44,26,83,213,90,118,43,123,69,51,32
MSTRG.142,37,38,44,2,7,9,7,6,7,10,15,8,10,19,14,12,15,19
MSTRG.143|Kcnq5,111,121,85,285,916,283,791,377,970,253,381,272,161,148,429,346,305,177
MSTRG.144|Gm36949,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MSTRG.145|Gm7658,28,22,25,74,52,61,66,42,74,36,25,31,21,41,16,45,34,34
MSTRG.146|Gm38243,2,0,0,0,3,0,0,0,3,0,0,0,0,1,2,2,0,0
MSTRG.147|Ogfrl1,9100,9612,9995,4152,4663,4371,4206,5021,4417,5932,3182,5271,1842,6882,3520,9563,9626,10749
MSTRG.153|Gm26524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.152|Sdhaf4,153,97,79,260,189,271,221,233,231,190,160,200,135,196,189,133,168,146
MSTRG.154|Fam135a,22,36,27,27,109,36,112,46,103,33,105,16,85,52,107,17,14,22
MSTRG.148|B3gat2,289,97,203,219,223,190,127,246,142,316,247,140,186,272,382,173,88,207
MSTRG.151|Smap1,2634,2995,2460,3652,2381,3891,2373,3311,2230,3787,2655,3867,1660,2787,3008,2321,2246,2489
MSTRG.149|B3gat2,14,6,2,3,4,5,2,9,0,9,13,28,8,3,9,3,3,2
