"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID"
"Ldah",1396.82526591572,0.158245870550607,0.0873425357387872,1.69729295464883,0.0896412885686864,0.227446409611182,"Ldah","68832"
"Rasa1",1594.85446062985,-0.158216856941907,0.107560180809946,-1.37799003149502,0.168206365908985,0.357757492067594,"Rasa1","218397"
"Sptbn1",10120.6432553089,-0.158181288802447,0.151245774402892,-0.979738372112913,0.327215279702409,0.558502677784402,"Sptbn1","20742"
"Gm48272",5.55965986159827,-0.158175420339036,0.784831601477406,-0.188798998485922,0.850250356818644,0.950480523409678,"Gm48272",NA
"Gm42141",13.0484351229696,-0.158158353945364,0.580987177355607,-0.255011400801847,0.798714293714875,0.924334723624298,"Gm42141","105246948"
"Slmap",4706.51752282775,-0.158157204657883,0.0707001066872799,-2.09557257548721,0.0361201241283374,0.115537625352706,"Slmap","83997"
"Gm14730",44.7723492682533,-0.158145302776889,0.295304667108311,-0.501669358048284,0.615900122247742,0.806813607111152,"Gm14730","667013"
"Wdr82",4545.41255493184,-0.158063457265988,0.0655852398626948,-2.25757285596523,0.0239723025339402,0.0839111466901583,"Wdr82","77305"
"Ivns1abp",7013.07460221109,-0.158060843286405,0.143522810928892,-1.03161889269129,0.302250686357611,0.531235919932616,"Ivns1abp","117198"
"Gm8494",104.583260965774,0.158049922740092,0.203782704439519,0.726508773878951,0.46752693075207,0.692101292224118,"Gm8494","667172"
"Kctd13",1066.55711676453,-0.158014855696939,0.132589019104334,-1.11634324393385,0.264275237780379,0.488048343177541,"Kctd13","233877"
"Setd5",8401.64613428966,-0.157974003201367,0.0626269560028234,-2.36278453633761,0.0181382116406711,0.0674011267091556,"Setd5","72895"
"Abhd15",465.338932126217,-0.15796249340877,0.141891628144375,-1.04278522520171,0.297047775700137,0.525478028599196,"Abhd15","67477"
"Tex9",279.26196430606,0.157942324789993,0.142739076509531,1.03645286495961,0.299990918340139,0.529064435100184,"Tex9","21778"
