"","SEDM_2P_1","SEDM_2P_2","SEDM_2P_3","SEEM_2P_1","SEEM_2P_2","SEEM_2P_3","SEEM_4P_1","SEEM_4P_2","SEEM_4P_3","PERKi_1","PERKi_2","PERKi_3","T_1","T_2","T_3","P1_dP_redoA_1","P2_dP_redoA_1","P3_dP_redoA_1"
"Krt13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Krt18",33,14,15,375,415,283,141,139,107,25,34,26,73,28,18,44,18,87
"Krt19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt222",14,15,16,12,6,15,29,18,26,44,62,49,0,0,5,24,18,25
"Krt222.1",2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"Krt23",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Krt24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt28",0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
"Krt31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt33a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt33b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
"Krt40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt6a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt6b",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Krt7",89,82,82,11,5,0,17,17,18,25,14,26,32,17,32,27,15,8
"Krt71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Krt78",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Krt79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Krt8",0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0
"Krt8.ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt80",226,374,300,56,63,79,152,185,128,307,290,218,117,136,110,718,317,554
"Krt81",128,136,154,4,0,0,0,3,0,44,67,60,70,89,138,30,9,18
"Krt82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt83",667,741,682,10,11,28,9,5,3,273,265,480,395,506,675,178,136,131
"Krt84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt86",64,76,98,0,0,3,4,0,0,36,39,69,50,28,59,29,26,44
"Krt87",12,17,8,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0
"Krt88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krt90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap1.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap1.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap10.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap10.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Krtap16.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap17.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap19.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap19.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap19.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap19.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap19.9a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap19.9b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap2.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap21.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap22.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap26.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap27.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap28.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap28.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap29.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap31.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap31.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap4.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap4.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap4.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap4.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap4.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap4.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap6.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap9.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtap9.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krtcap2",1483,1345,1396,3826,4321,4376,5610,4978,5253,2053,1599,2000,2805,2089,1401,3649,2043,3923
"Krtcap3",27,33,51,30,30,28,36,22,22,43,17,39,32,43,38,85,65,111
"Krtdap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ksr1",3427,3771,3700,2408,2537,2444,2300,2517,2308,2832,2999,2812,2361,2539,2661,2605,1459,2698
"Ksr2",101,73,51,66,59,98,66,74,52,65,134,81,20,62,54,126,65,113
"Kti12",209,199,178,1682,1572,1503,1676,1723,1799,1097,1013,686,334,287,203,525,349,626
"Ktn1",1241,1223,1074,2429,2476,2004,1896,1998,2177,1782,1362,1213,932,737,861,1195,776,1290
"Kxd1",2245,2284,2174,3328,3474,3196,2910,2967,2871,2312,2622,2094,2254,2218,1826,3186,1513,2654
"Ky",9,0,0,0,0,0,5,0,0,13,39,17,0,0,0,23,14,32
"Kyat1",266,227,351,378,481,366,317,276,271,264,357,200,258,218,150,147,92,219
"Kyat3",53,23,25,422,339,457,778,792,824,137,141,130,65,61,29,97,89,224
"Kynu",80,99,65,33,55,52,13,16,13,133,149,143,34,26,63,216,86,133
"Kynu.1",0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0
"L1cam",290,288,274,31,30,45,19,14,29,156,188,201,157,204,311,151,77,183
"L1cam.1",14,18,13,0,3,0,0,0,4,0,26,7,20,17,22,0,0,0
"L1td1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2hgdh",193,157,218,798,689,617,789,840,854,374,290,252,434,349,240,200,125,225
"L3hypdh",13,0,6,22,22,10,31,20,15,0,0,3,0,10,0,11,3,8
"L3mbtl1",17,9,9,0,11,21,0,2,9,8,0,11,22,18,19,7,0,9
